id_carte,code_set,numero,nom_fr,nom_en,type_carte,rarete,element,hp,talent_nom_fr,talent_effet_fr,attaque1_nom_fr,attaque1_cout,attaque1_degats,attaque1_effet_fr,attaque2_nom_fr,attaque2_cout,attaque2_degats,attaque2_effet_fr,faiblesse,retraite,illustrateur,image_url,source
PKT-A1-013,A1,13,Rafflesia,Vileplume,pokemon,diamant,plante,140,,,Senteur Apaisante,plante|plante|incolore,80,Le Pokémon Actif de votre adversaire est maintenant Endormi.,,,,,feu,3,Kyoko Umemoto,https://assets.tcgdex.net/fr/tcgp/A1/013,pokekalos
PKT-A1-014,A1,14,Paras,Paras,pokemon,diamant,plante,70,,,Griffe,plante|incolore,30,,,,,,feu,1,Naoyo Kimura,https://assets.tcgdex.net/fr/tcgp/A1/014,pokekalos
PKT-A1-015,A1,15,Parasect,Parasect,pokemon,diamant,plante,120,,,Tranche,plante|plante|incolore,80,,,,,,feu,2,Eri Yamaki,https://assets.tcgdex.net/fr/tcgp/A1/015,pokekalos
PKT-A1-016,A1,16,Mimitoss,Venonat,pokemon,diamant,plante,60,,,Charge,plante,20,,,,,,feu,1,HYOGONOSUKE,https://assets.tcgdex.net/fr/tcgp/A1/016,pokekalos
PKT-A1-017,A1,17,Aéromite,Venomoth,pokemon,diamant,plante,80,,,Poudre Toxik,plante,30,Le Pokémon Actif de votre adversaire est maintenant Empoisonné.,,,,,feu,1,Mina Nakai,https://assets.tcgdex.net/fr/tcgp/A1/017,pokekalos
PKT-A1-018,A1,18,Chétiflor,Bellsprout,pokemon,diamant,plante,60,,,Fouet Lianes,plante,20,,,,,,feu,1,HYOGONOSUKE,https://assets.tcgdex.net/fr/tcgp/A1/018,pokekalos
PKT-A1-019,A1,19,Boustiflor,Weepinbell,pokemon,diamant,plante,90,,,Tranch'Herbe,plante|incolore,40,,,,,,feu,2,Miki Tanaka,https://assets.tcgdex.net/fr/tcgp/A1/019,pokekalos
PKT-A1-020,A1,20,Empiflor,Victreebel,pokemon,diamant,plante,140,Piège Parfumé,"Si ce Pokémon est sur le Poste Actif, une fois pendant votre tour, vous pouvez échanger l'un des Pokémon de base sur le Banc de votre adversaire contre son Pokémon Actif.",Fouet Lianes,plante|incolore,60,,,,,,feu,2,Sumiyoshi Kizuki,https://assets.tcgdex.net/fr/tcgp/A1/020,pokekalos
PKT-A1-021,A1,21,Noeunoeuf,Exeggcute,pokemon,diamant,plante,50,,,Canon Graine,plante,20,,,,,,feu,1,kawayoo,https://assets.tcgdex.net/fr/tcgp/A1/021,pokekalos
PKT-A1-022,A1,22,Noadkoko,Exeggutor,pokemon,diamant,plante,130,,,Écrasement,plante,30,"Lancez une pièce. Si c'est face, cette attaque inflige 30 dégâts de plus.",,,,,feu,3,Yukiko Baba,https://assets.tcgdex.net/fr/tcgp/A1/022,pokekalos
PKT-A1-023,A1,23,Noadkoko-ex,Exeggutor ex,pokemon,diamant,plante,160,,,Coup Tropical,plante,40,"Lancez une pièce. Si c'est face, cette attaque inflige 40 dégâts de plus.",,,,,feu,3,PLANETA CG Works,https://assets.tcgdex.net/fr/tcgp/A1/023,pokekalos
PKT-A1-024,A1,24,Saquedeneu,Tangela,pokemon,diamant,plante,80,,,Vole-Vie,plante|incolore,40,Soignez 10 dégâts de ce Pokémon.,,,,,feu,2,Midori Harada,https://assets.tcgdex.net/fr/tcgp/A1/024,pokekalos
PKT-A1-025,A1,25,Insécateur,Scyther,pokemon,diamant,plante,70,,,Faucille Acérée,plante,30,,,,,,feu,1,Hasuno,https://assets.tcgdex.net/fr/tcgp/A1/025,pokekalos
PKT-A1-026,A1,26,Scarabrute,Pinsir,pokemon,diamant,plante,90,,,Double Corne,plante|plante,50,Lancez 2 pièces. Cette attaque inflige 50 dégâts pour chaque côté face.,,,,,feu,2,Eri Yamaki,https://assets.tcgdex.net/fr/tcgp/A1/026,pokekalos
PKT-A1-027,A1,27,Doudouvet,Cottonee,pokemon,diamant,plante,50,,,Accrochage,incolore,10,,,,,,feu,1,Kanako Eo,https://assets.tcgdex.net/fr/tcgp/A1/027,pokekalos
PKT-A1-028,A1,28,Farfaduvet,Whimsicott,pokemon,diamant,plante,80,,,Roulé-Boulé,incolore,40,,,,,,feu,1,Atsuko Nishida,https://assets.tcgdex.net/fr/tcgp/A1/028,pokekalos
PKT-A1-029,A1,29,Chlorobule,Petilil,pokemon,diamant,plante,60,,,Pâté,plante,10,Soignez 10 dégâts de ce Pokémon.,,,,,feu,1,Naoyo Kimura,https://assets.tcgdex.net/fr/tcgp/A1/029,pokekalos
PKT-A1-030,A1,30,Fragilady,Lilligant,pokemon,diamant,plante,100,,,Provision de Feuillage,plante|plante,50,Prenez une Énergie Plante de votre zone Énergie et attachez-la à l'un de vos Pokémon Plante de Banc.,,,,,feu,1,You Iribi,https://assets.tcgdex.net/fr/tcgp/A1/030,pokekalos
PKT-A1-031,A1,31,Cabriolaine,Skiddo,pokemon,diamant,plante,70,,,Attaque Surprise,incolore,40,"Lancez une pièce. Si c'est pile, cette attaque ne fait rien.",,,,,feu,1,Naoki Saito,https://assets.tcgdex.net/fr/tcgp/A1/031,pokekalos
PKT-A1-032,A1,32,Chevroum,Gogoat,pokemon,diamant,plante,120,,,Tranch'Herbe,plante|incolore|incolore,70,,,,,,feu,2,You Iribi,https://assets.tcgdex.net/fr/tcgp/A1/032,pokekalos
PKT-A1-033,A1,33,Salamèche,Charmander,pokemon,diamant,feu,60,,,Flammèche,feu,30,Défaussez une Énergie Feu de ce Pokémon.,,,,,eau,1,Teeziro,https://assets.tcgdex.net/fr/tcgp/A1/033,pokekalos
PKT-A1-034,A1,34,Reptincel,Charmeleon,pokemon,diamant,feu,90,,,Griffes Enflammées,feu|incolore|incolore,60,,,,,,eau,2,kantaro,https://assets.tcgdex.net/fr/tcgp/A1/034,pokekalos
PKT-A1-035,A1,35,Dracaufeu,Charizard,pokemon,diamant,feu,150,,,Danse Flammes,feu|feu|incolore|incolore,150,Défaussez 2 Énergies Feu de ce Pokémon.,,,,,eau,2,takuyoa,https://assets.tcgdex.net/fr/tcgp/A1/035,pokekalos
PKT-A1-036,A1,36,Dracaufeu-ex,Charizard ex,pokemon,diamant,feu,180,,,Tranche,feu|incolore|incolore,60,,Tempête Écarlate,feu|feu|incolore|incolore,200,Défaussez 2 Énergies Feu de ce Pokémon.,eau,2,PLANETA Mochizuki,https://assets.tcgdex.net/fr/tcgp/A1/036,pokekalos
PKT-A1-037,A1,37,Goupix,Vulpix,pokemon,diamant,feu,50,,,Mimi-Queue,incolore,,"Lancez une pièce. Si c'est face, le Pokémon Défenseur ne peut pas attaquer pendant le prochain tour de votre adversaire.",,,,,eau,1,Toshinao Aoki,https://assets.tcgdex.net/fr/tcgp/A1/037,pokekalos
PKT-A1-038,A1,38,Feunard,Ninetales,pokemon,diamant,feu,90,,,Lance-Flammes,feu|feu,90,Défaussez une Énergie Feu de ce Pokémon.,,,,,eau,1,You Iribi,https://assets.tcgdex.net/fr/tcgp/A1/038,pokekalos
PKT-A1-039,A1,39,Caninos,Growlithe,pokemon,diamant,feu,70,,,Morsure,incolore|incolore,20,,,,,,eau,1,Mizue,https://assets.tcgdex.net/fr/tcgp/A1/039,pokekalos
PKT-A1-040,A1,40,Arcanin,Arcanine,pokemon,diamant,feu,130,,,Charge Énergétique,feu|feu|incolore,100,Ce Pokémon s'inflige aussi 20 dégâts.,,,,,eau,2,kodama,https://assets.tcgdex.net/fr/tcgp/A1/040,pokekalos
PKT-A1-041,A1,41,Arcanin-ex,Arcanine ex,pokemon,diamant,feu,150,,,Torrent d'Enfer,feu|feu|incolore,120,Ce Pokémon s'inflige aussi 20 dégâts.,,,,,eau,2,PLANETA Saito,https://assets.tcgdex.net/fr/tcgp/A1/041,pokekalos
PKT-A1-042,A1,42,Ponyta,Ponyta,pokemon,diamant,feu,60,,,Flamboiement,feu,20,,,,,,eau,1,Uta,https://assets.tcgdex.net/fr/tcgp/A1/042,pokekalos
PKT-A1-043,A1,43,Galopa,Rapidash,pokemon,diamant,feu,100,,,Crinière de Feu,feu,40,,,,,,eau,1,Misa Tsutsui,https://assets.tcgdex.net/fr/tcgp/A1/043,pokekalos
PKT-A1-044,A1,44,Magmar,Magmar,pokemon,diamant,feu,80,,,Poing Magma,feu|feu,50,,,,,,eau,2,Ryuta Fuse,https://assets.tcgdex.net/fr/tcgp/A1/044,pokekalos
PKT-A1-045,A1,45,Pyroli,Flareon,pokemon,diamant,feu,120,,,Lance-Flammes,feu|incolore|incolore,110,Défaussez une Énergie Feu de ce Pokémon.,,,,,eau,2,sui,https://assets.tcgdex.net/fr/tcgp/A1/045,pokekalos
PKT-A1-046,A1,46,Sulfura,Moltres,pokemon,diamant,feu,100,,,Piqué,feu|incolore|incolore,130,"Lancez une pièce. Si c'est pile, cette attaque ne fait rien.",,,,,electrique,1,Hitoshi Ariga,https://assets.tcgdex.net/fr/tcgp/A1/046,pokekalos
PKT-A1-047,A1,47,Sulfura-ex,Moltres ex,pokemon,diamant,feu,140,,,Danse Infernale,feu,,Lancez 3 pièces. Prenez le même nombre d'Énergie Feu de votre zone Énergie que le nombre de côté face obtenu et attachez-les à vos Pokémon Feu de Banc comme il vous plaît.,Explosion de Chaleur,feu|incolore|incolore,70,,electrique,2,PLANETA Tsuji,https://assets.tcgdex.net/fr/tcgp/A1/047,pokekalos
PKT-A1-048,A1,48,Aflamanoir,Heatmor,pokemon,diamant,feu,80,,,Fournaise,feu,30,,,,,,eau,1,Suwama Chiaki,https://assets.tcgdex.net/fr/tcgp/A1/048,pokekalos
PKT-A1-049,A1,49,Tritox,Salandit,pokemon,diamant,feu,60,,,Griffe,feu,20,,,,,,eau,1,Kyoko Umemoto,https://assets.tcgdex.net/fr/tcgp/A1/049,pokekalos
PKT-A1-050,A1,50,Malamandre,Salazzle,pokemon,diamant,feu,90,,,Griffes Enflammées,feu|incolore,60,,,,,,eau,1,hatachu,https://assets.tcgdex.net/fr/tcgp/A1/050,pokekalos
PKT-A1-051,A1,51,Grillepattes,Sizzlipede,pokemon,diamant,feu,60,,,Ronge,incolore,10,,,,,,eau,1,Teeziro,https://assets.tcgdex.net/fr/tcgp/A1/051,pokekalos
PKT-A1-052,A1,52,Scolocendre,Centiskorch,pokemon,diamant,feu,130,,,Déflagration,feu|incolore|incolore|incolore,130,Défaussez une Énergie Feu de ce Pokémon.,,,,,eau,3,GOSSAN,https://assets.tcgdex.net/fr/tcgp/A1/052,pokekalos
PKT-A1-053,A1,53,Carapuce,Squirtle,pokemon,diamant,eau,60,,,Pistolet à O,eau,20,,,,,,electrique,1,Mizue,https://assets.tcgdex.net/fr/tcgp/A1/053,pokekalos
PKT-A1-054,A1,54,Carabaffe,Wartortle,pokemon,diamant,eau,80,,,Grosse Vague,eau|incolore,40,,,,,,electrique,1,Nelnal,https://assets.tcgdex.net/fr/tcgp/A1/054,pokekalos
PKT-A1-055,A1,55,Tortank,Blastoise,pokemon,diamant,eau,150,,,Hydrocanon,eau|eau|incolore,80,"Si ce Pokémon a au moins 2 Énergies Eau de plus, cette attaque inflige 60 dégâts supplémentaires.",,,,,electrique,3,Nurikabe,https://assets.tcgdex.net/fr/tcgp/A1/055,pokekalos
PKT-A1-056,A1,56,Tortank-ex,Blastoise ex,pokemon,diamant,eau,180,,,Surf,eau|incolore,40,,Aquazooka,eau|eau|incolore,100,"Si ce Pokémon a au moins 2 Énergies Eau de plus, cette attaque inflige 60 dégâts supplémentaires.",electrique,3,PLANETA Tsuji,https://assets.tcgdex.net/fr/tcgp/A1/056,pokekalos
PKT-A1-057,A1,57,Psykokwak,Psyduck,pokemon,diamant,eau,60,,,Migraine,incolore,10,Votre adversaire ne peut pas jouer de carte Supporter de sa main lors son prochain tour.,,,,,electrique,1,Shibuzoh.,https://assets.tcgdex.net/fr/tcgp/A1/057,pokekalos
PKT-A1-058,A1,58,Akwakwak,Golduck,pokemon,diamant,eau,90,,,Aqua-Dague,eau|eau,70,,,,,,electrique,1,Naoki Saito,https://assets.tcgdex.net/fr/tcgp/A1/058,pokekalos
PKT-A1-059,A1,59,Ptitard,Poliwag,pokemon,diamant,eau,60,,,Aileron-Rasoir,incolore,10,,,,,,electrique,1,Shibuzoh.,https://assets.tcgdex.net/fr/tcgp/A1/059,pokekalos
PKT-A1-060,A1,60,Têtarte,Poliwhirl,pokemon,diamant,eau,90,,,Coud'Phalange,incolore|incolore,40,,,,,,electrique,2,Yuka Morii,https://assets.tcgdex.net/fr/tcgp/A1/060,pokekalos
PKT-A1-061,A1,61,Tartard,Poliwrath,pokemon,diamant,eau,150,Contre-Attaque,"Si ce Pokémon est sur le Poste Actif et subit les dégâts d'une attaque d'un Pokémon de votre adversaire, le Pokémon Attaquant subit 20 dégâts.",Ultimapoing,eau|incolore|incolore,80,,,,,,electrique,2,Akira Komayama,https://assets.tcgdex.net/fr/tcgp/A1/061,pokekalos
PKT-A1-062,A1,62,Tentacool,Tentacool,pokemon,diamant,eau,60,,,Gifle Douce,eau,20,,,,,,electrique,1,Shinya Komatsu,https://assets.tcgdex.net/fr/tcgp/A1/062,pokekalos
PKT-A1-063,A1,63,Tentacruel,Tentacruel,pokemon,diamant,eau,110,,,Tentacules Empoisonnés,eau|incolore,50,Le Pokémon Actif de votre adversaire est maintenant Empoisonné.,,,,,electrique,2,kodama,https://assets.tcgdex.net/fr/tcgp/A1/063,pokekalos
PKT-A1-064,A1,64,Otaria,Seel,pokemon,diamant,eau,80,,,Coup d'Boule,incolore|incolore,30,,,,,,electrique,2,Masako Yamashita,https://assets.tcgdex.net/fr/tcgp/A1/064,pokekalos
PKT-A1-065,A1,65,Lamantine,Dewgong,pokemon,diamant,eau,120,,,Surf,eau|eau|eau,90,,,,,,electrique,3,Kanako Eo,https://assets.tcgdex.net/fr/tcgp/A1/065,pokekalos
PKT-A1-066,A1,66,Kokiyas,Shellder,pokemon,diamant,eau,60,,,Gros Coup de Langue,eau,20,,,,,,electrique,1,Sumiyoshi Kizuki,https://assets.tcgdex.net/fr/tcgp/A1/066,pokekalos
PKT-A1-067,A1,67,Crustabri,Cloyster,pokemon,diamant,eau,120,Coque Armure,Ce Pokémon subit −10 dégâts provenant des attaques.,Surf,eau|eau|incolore,70,,,,,,electrique,3,Saya Tsuruta,https://assets.tcgdex.net/fr/tcgp/A1/067,pokekalos
PKT-A1-068,A1,68,Krabby,Krabby,pokemon,diamant,eau,70,,,Force Poigne,eau|incolore,40,,,,,,electrique,2,Tomokazu Komiya,https://assets.tcgdex.net/fr/tcgp/A1/068,pokekalos
PKT-A1-069,A1,69,Krabboss,Kingler,pokemon,diamant,eau,120,,,Crabe Fatal,eau|eau|incolore,80,"Lancez 2 pièces. Si toutes sont côté face, cette attaque inflige 80 dégâts de plus.",,,,,electrique,3,Shigenori Negishi,https://assets.tcgdex.net/fr/tcgp/A1/069,pokekalos
PKT-A1-070,A1,70,Hypotrempe,Horsea,pokemon,diamant,eau,60,,,Pistolet à O,eau,20,,,,,,electrique,1,Saya Tsuruta,https://assets.tcgdex.net/fr/tcgp/A1/070,pokekalos
PKT-A1-071,A1,71,Hypocéan,Seadra,pokemon,diamant,eau,70,,,Flèche d'Eau,eau|eau|eau,,Cette attaque inflige 50 dégâts à l'un des Pokémon de votre adversaire.,,,,,electrique,1,Sanosuke Sakuma,https://assets.tcgdex.net/fr/tcgp/A1/071,pokekalos
PKT-A1-072,A1,72,Poissirène,Goldeen,pokemon,diamant,eau,60,,,Flop,incolore,10,,,,,,electrique,1,Kyoko Umemoto,https://assets.tcgdex.net/fr/tcgp/A1/072,pokekalos
PKT-A1-073,A1,73,Poissoroy,Seaking,pokemon,diamant,eau,100,,,Chanc'korne,eau,80,"Lancez une pièce. Si c'est pile, cette attaque ne fait rien.",,,,,electrique,1,Kyoko Umemoto,https://assets.tcgdex.net/fr/tcgp/A1/073,pokekalos
PKT-A1-074,A1,74,Stari,Staryu,pokemon,diamant,eau,50,,,Claque,eau,20,,,,,,electrique,1,Hiroki Asanuma,https://assets.tcgdex.net/fr/tcgp/A1/074,pokekalos
PKT-A1-075,A1,75,Staross,Starmie,pokemon,diamant,eau,90,,,Grosse Vague,eau,40,,,,,,electrique,0,Yukiko Baba,https://assets.tcgdex.net/fr/tcgp/A1/075,pokekalos
PKT-A1-076,A1,76,Staross-ex,Starmie ex,pokemon,diamant,eau,130,,,Hydro-Éclaboussure,eau|eau,90,,,,,,electrique,0,PLANETA Igarashi,https://assets.tcgdex.net/fr/tcgp/A1/076,pokekalos
PKT-A1-077,A1,77,Magicarpe,Magikarp,pokemon,diamant,eau,30,,,Trempette,incolore,10,,,,,,electrique,1,Sekio,https://assets.tcgdex.net/fr/tcgp/A1/077,pokekalos
PKT-A1-078,A1,78,Léviator,Gyarados,pokemon,diamant,eau,150,,,Ultralaser,eau|eau|eau|eau,100,Défaussez au hasard une Énergie du Pokémon Actif de votre adversaire.,,,,,electrique,4,Mitsuhiro Arita,https://assets.tcgdex.net/fr/tcgp/A1/078,pokekalos
PKT-A1-079,A1,79,Lokhlass,Lapras,pokemon,diamant,eau,100,,,Hydrocanon,eau,20,"Si ce Pokémon a au moins 3 Énergies Eau de plus, cette attaque inflige 70 dégâts supplémentaires.",,,,,electrique,2,Sekio,https://assets.tcgdex.net/fr/tcgp/A1/079,pokekalos
PKT-A1-080,A1,80,Aquali,Vaporeon,pokemon,diamant,eau,130,,,Vide Bulle,eau|incolore|incolore,60,Soignez 30 dégâts de ce Pokémon.,,,,,electrique,2,Kagemaru Himeno,https://assets.tcgdex.net/fr/tcgp/A1/080,pokekalos
PKT-A1-081,A1,81,Amonita,Omanyte,pokemon,diamant,eau,90,,,Pistolet à O,eau,40,,,,,,electrique,1,Suwama Chiaki,https://assets.tcgdex.net/fr/tcgp/A1/081,pokekalos
PKT-A1-082,A1,82,Amonistar,Omastar,pokemon,diamant,eau,140,,,Siphon Antique,eau|incolore|incolore,70,"Pendant le prochain tour de votre adversaire, le Pokémon Défenseur ne peut pas attaquer.",,,,,electrique,2,kirisAki,https://assets.tcgdex.net/fr/tcgp/A1/082,pokekalos
PKT-A1-083,A1,83,Artikodin,Articuno,pokemon,diamant,eau,100,,,Laser Glace,eau|eau|incolore,60,"Lancez une pièce. Si c'est face, le Pokémon Actif de votre adversaire est maintenant Paralysé.",,,,,electrique,1,Hitoshi Ariga,https://assets.tcgdex.net/fr/tcgp/A1/083,pokekalos
PKT-A1-084,A1,84,Artikodin-ex,Articuno ex,pokemon,diamant,eau,140,,,Aile Glace,eau|incolore,40,,Blizzard,eau|eau|eau,80,Cette attaque inflige aussi 10 dégâts à chaque Pokémon de Banc de votre adversaire.,electrique,2,PLANETA Saito,https://assets.tcgdex.net/fr/tcgp/A1/084,pokekalos
PKT-A1-085,A1,85,Couaneton,Ducklett,pokemon,diamant,eau,50,,,Battement,incolore|incolore,30,,,,,,electrique,1,Yumi,https://assets.tcgdex.net/fr/tcgp/A1/085,pokekalos
PKT-A1-086,A1,86,Lakmécygne,Swanna,pokemon,diamant,eau,90,,,Cru-Ailes,incolore|incolore|incolore,70,,,,,,electrique,1,sui,https://assets.tcgdex.net/fr/tcgp/A1/086,pokekalos
PKT-A1-087,A1,87,Grenousse,Froakie,pokemon,diamant,eau,60,,,Flop,incolore,10,,,,,,electrique,1,Aya Kusube,https://assets.tcgdex.net/fr/tcgp/A1/087,pokekalos
PKT-A1-088,A1,88,Croâporal,Frogadier,pokemon,diamant,eau,80,,,Goutte à Goutte,incolore,30,,,,,,electrique,1,Akira Komayama,https://assets.tcgdex.net/fr/tcgp/A1/088,pokekalos
PKT-A1-089,A1,89,Amphinobi,Greninja,pokemon,diamant,eau,120,Sheauriken,"Une fois pendant votre tour, vous pouvez infliger 20 dégâts à un Pokémon de votre adversaire.",Tranche-Brume,eau|incolore,60,,,,,,electrique,1,5ban Graphics,https://assets.tcgdex.net/fr/tcgp/A1/089,pokekalos
PKT-A1-090,A1,90,Concombaffe,Pyukumuku,pokemon,diamant,eau,70,,,Pluie Éclaboussante,eau,30,,,,,,electrique,1,OOYAMA,https://assets.tcgdex.net/fr/tcgp/A1/090,pokekalos
PKT-A1-091,A1,91,Denticrisse,Bruxish,pokemon,diamant,eau,90,,,Deuxième Coup,eau|incolore,10,"Si le Pokémon Actif de votre adversaire a subi des dégâts, cette attaque inflige 60 dégâts de plus.",,,,,electrique,1,Mizue,https://assets.tcgdex.net/fr/tcgp/A1/091,pokekalos
PKT-A1-092,A1,92,Frissonille,Snom,pokemon,diamant,eau,50,,,Collision,incolore,10,,,,,,metal,1,ryoma uratsuka,https://assets.tcgdex.net/fr/tcgp/A1/092,pokekalos
PKT-A1-093,A1,93,Beldeneige,Frosmoth,pokemon,diamant,eau,90,,,Poudreuse,eau|incolore,40,Le Pokémon Actif de votre adversaire est maintenant Endormi.,,,,,metal,1,aoki,https://assets.tcgdex.net/fr/tcgp/A1/093,pokekalos
PKT-A1-094,A1,94,Pikachu,Pikachu,pokemon,diamant,electrique,60,,,Ronge,electrique,20,,,,,,combat,1,Mitsuhiro Arita,https://assets.tcgdex.net/fr/tcgp/A1/094,pokekalos
PKT-A1-095,A1,95,Raichu,Raichu,pokemon,diamant,electrique,100,,,Tonnerre,electrique|electrique|electrique,140,Défaussez toutes les Énergies de ce Pokémon.,,,,,combat,1,AKIRA EGAWA,https://assets.tcgdex.net/fr/tcgp/A1/095,pokekalos
PKT-A1-096,A1,96,Pikachu-ex,Pikachu ex,pokemon,diamant,electrique,120,,,Cercle Électrik,electrique|electrique,30,Cette attaque inflige 30 dégâts pour chaque Pokémon Électrique sur votre Banc.,,,,,combat,1,PLANETA CG Works,https://assets.tcgdex.net/fr/tcgp/A1/096,pokekalos
PKT-A1-097,A1,97,Magnéti,Magnemite,pokemon,diamant,electrique,60,,,Boule Éclair,electrique,20,,,,,,combat,1,sowsow,https://assets.tcgdex.net/fr/tcgp/A1/097,pokekalos
PKT-A1-098,A1,98,Magnéton,Magneton,pokemon,diamant,electrique,80,Charge Volt,"Une fois pendant votre tour, vous pouvez prendre une Énergie Électrique de votre zone Énergie et l'attacher à ce Pokémon.",Attaque Tournante,electrique|incolore|incolore|incolore,60,,,,,,combat,2,kirisAki,https://assets.tcgdex.net/fr/tcgp/A1/098,pokekalos
PKT-A1-099,A1,99,Voltorbe,Voltorb,pokemon,diamant,electrique,60,,,Charge,electrique,20,,,,,,combat,1,SATOSHI NAKAI,https://assets.tcgdex.net/fr/tcgp/A1/099,pokekalos
PKT-A1-100,A1,100,Électrode,Electrode,pokemon,diamant,electrique,80,,,Boule Élek,electrique|electrique,70,,,,,,combat,0,Asako Ito,https://assets.tcgdex.net/fr/tcgp/A1/100,pokekalos
PKT-A1-101,A1,101,Élektek,Electabuzz,pokemon,diamant,electrique,70,,,Poing Éclair,electrique|electrique,40,"Lancez une pièce. Si c'est face, cette attaque inflige 40 dégâts de plus. Si c'est pile, ce Pokémon s'inflige aussi 20 dégâts.",,,,,combat,1,Ryuta Fuse,https://assets.tcgdex.net/fr/tcgp/A1/101,pokekalos
PKT-A1-102,A1,102,Voltali,Jolteon,pokemon,diamant,electrique,90,,,Dard-Nuée,electrique|incolore,40,Lancez 4 pièces. Cette attaque inflige 40 dégâts pour chaque côté face.,,,,,combat,1,Kouki Saitou,https://assets.tcgdex.net/fr/tcgp/A1/102,pokekalos
PKT-A1-103,A1,103,Électhor,Zapdos,pokemon,diamant,electrique,100,,,Tonnerre Déchaîné,electrique|electrique|incolore,100,Cette attaque inflige aussi 30 dégâts à un de vos Pokémon de Banc.,,,,,electrique,1,Hitoshi Ariga,https://assets.tcgdex.net/fr/tcgp/A1/103,pokekalos
PKT-A1-104,A1,104,Électhor-ex,Zapdos ex,pokemon,diamant,electrique,130,,,Picpic,electrique,20,,Rafale d'Éclairs,electrique|electrique|electrique,50,Lancez 4 pièces. Cette attaque inflige 50 dégâts pour chaque côté face.,electrique,1,PLANETA CG Works,https://assets.tcgdex.net/fr/tcgp/A1/104,pokekalos
PKT-A1-105,A1,105,Zébibron,Blitzle,pokemon,diamant,electrique,60,,,Coup de Pied Ravageur,electrique,20,,,,,,combat,1,Shin Nagasawa,https://assets.tcgdex.net/fr/tcgp/A1/105,pokekalos
PKT-A1-106,A1,106,Zéblitz,Zebstrika,pokemon,diamant,electrique,90,,,Lance-Éclair,electrique,,Cette attaque inflige 30 dégâts à l'un des Pokémon de votre adversaire.,,,,,combat,1,Misa Tsutsui,https://assets.tcgdex.net/fr/tcgp/A1/106,pokekalos
